digital_version_id,work_id,edition_id_if_known,provider,provider_record_id,canonical_landing_url,read_online_url,direct_file_url,api_url,repository_url,openiti_uri,archive_identifier,doi,handle,urn,iiif_manifest,format,file_size_if_known,page_count_if_known,volume_number,ocr_available,ocr_quality,searchable_text,table_of_contents_available,chapter_structure_available,checksum_if_provider_gives_it,reading_capability,viewer_strategy,download_capability,rights_status,local_storage_recommendation,language,subcorpus,status
0255Jahiz.SinacatKalam.Shamela0010428BK44-ara1,0255Jahiz.SinacatKalam,ed_d624082e,OpenITI / KITAB,Shamela0010428BK44,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.SinacatKalam/0255Jahiz.SinacatKalam.Shamela0010428BK44-ara1.mARkdown,NULL,https://raw.githubusercontent.com/OpenITI/RELEASE/master/data/0255Jahiz/0255Jahiz.SinacatKalam/0255Jahiz.SinacatKalam.Shamela0010428BK44-ara1.mARkdown,NULL,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.SinacatKalam/0255Jahiz.SinacatKalam.Shamela0010428BK44-ara1.mARkdown,0255Jahiz.SinacatKalam.Shamela0010428BK44-ara1,NULL,10.5281/zenodo.17767721,NULL,NULL,NULL,TXT,NULL,NULL,NULL,false,NULL,true,UNVERIFIED,UNVERIFIED,NULL,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,ara,ara,pri
0255Jahiz.SinacatQuwwad.Shamela0010428BK12-ara1,0255Jahiz.SinacatQuwwad,ed_de563245,OpenITI / KITAB,Shamela0010428BK12,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.SinacatQuwwad/0255Jahiz.SinacatQuwwad.Shamela0010428BK12-ara1.mARkdown,NULL,https://raw.githubusercontent.com/OpenITI/RELEASE/master/data/0255Jahiz/0255Jahiz.SinacatQuwwad/0255Jahiz.SinacatQuwwad.Shamela0010428BK12-ara1.mARkdown,NULL,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.SinacatQuwwad/0255Jahiz.SinacatQuwwad.Shamela0010428BK12-ara1.mARkdown,0255Jahiz.SinacatQuwwad.Shamela0010428BK12-ara1,NULL,10.5281/zenodo.17767721,NULL,NULL,NULL,TXT,NULL,NULL,NULL,false,NULL,true,UNVERIFIED,UNVERIFIED,NULL,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,ara,ara,pri
0255Jahiz.SinacatQuwwad.Shamela0010670BK15-ara2,0255Jahiz.SinacatQuwwad,ed_a1170fe6,OpenITI / KITAB,Shamela0010670BK15,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.SinacatQuwwad/0255Jahiz.SinacatQuwwad.Shamela0010670BK15-ara2.mARkdown,NULL,https://raw.githubusercontent.com/OpenITI/RELEASE/master/data/0255Jahiz/0255Jahiz.SinacatQuwwad/0255Jahiz.SinacatQuwwad.Shamela0010670BK15-ara2.mARkdown,NULL,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.SinacatQuwwad/0255Jahiz.SinacatQuwwad.Shamela0010670BK15-ara2.mARkdown,0255Jahiz.SinacatQuwwad.Shamela0010670BK15-ara2,NULL,10.5281/zenodo.17767721,NULL,NULL,NULL,TXT,NULL,NULL,NULL,false,NULL,true,UNVERIFIED,UNVERIFIED,NULL,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,ara,ara,sec
0255Jahiz.TabaqatMughannin.Shamela0010428BK24-ara1,0255Jahiz.TabaqatMughannin,ed_388fc0d2,OpenITI / KITAB,Shamela0010428BK24,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.TabaqatMughannin/0255Jahiz.TabaqatMughannin.Shamela0010428BK24-ara1.mARkdown,NULL,https://raw.githubusercontent.com/OpenITI/RELEASE/master/data/0255Jahiz/0255Jahiz.TabaqatMughannin/0255Jahiz.TabaqatMughannin.Shamela0010428BK24-ara1.mARkdown,NULL,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.TabaqatMughannin/0255Jahiz.TabaqatMughannin.Shamela0010428BK24-ara1.mARkdown,0255Jahiz.TabaqatMughannin.Shamela0010428BK24-ara1,NULL,10.5281/zenodo.17767721,NULL,NULL,NULL,TXT,NULL,NULL,NULL,false,NULL,true,UNVERIFIED,UNVERIFIED,NULL,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,ara,ara,pri
0255Jahiz.TabaqatMughannin.Shamela0010670BK7-ara2,0255Jahiz.TabaqatMughannin,ed_07135433,OpenITI / KITAB,Shamela0010670BK7,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.TabaqatMughannin/0255Jahiz.TabaqatMughannin.Shamela0010670BK7-ara2.mARkdown,NULL,https://raw.githubusercontent.com/OpenITI/RELEASE/master/data/0255Jahiz/0255Jahiz.TabaqatMughannin/0255Jahiz.TabaqatMughannin.Shamela0010670BK7-ara2.mARkdown,NULL,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.TabaqatMughannin/0255Jahiz.TabaqatMughannin.Shamela0010670BK7-ara2.mARkdown,0255Jahiz.TabaqatMughannin.Shamela0010670BK7-ara2,NULL,10.5281/zenodo.17767721,NULL,NULL,NULL,TXT,NULL,NULL,NULL,false,NULL,true,UNVERIFIED,UNVERIFIED,NULL,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,ara,ara,sec
0255Jahiz.TabsiraBiTijara.JK009177-ara1,0255Jahiz.TabsiraBiTijara,ed_1aa1c806,OpenITI / KITAB,JK009177,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.TabsiraBiTijara/0255Jahiz.TabsiraBiTijara.JK009177-ara1,NULL,https://raw.githubusercontent.com/OpenITI/RELEASE/master/data/0255Jahiz/0255Jahiz.TabsiraBiTijara/0255Jahiz.TabsiraBiTijara.JK009177-ara1,NULL,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.TabsiraBiTijara/0255Jahiz.TabsiraBiTijara.JK009177-ara1,0255Jahiz.TabsiraBiTijara.JK009177-ara1,NULL,10.5281/zenodo.17767721,NULL,NULL,NULL,TXT,NULL,NULL,NULL,false,NULL,true,UNVERIFIED,UNVERIFIED,NULL,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,ara,ara,sec
0255Jahiz.TabsiraBiTijara.Shamela0006956-ara1,0255Jahiz.TabsiraBiTijara,ed_f8aafaa1,OpenITI / KITAB,Shamela0006956,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.TabsiraBiTijara/0255Jahiz.TabsiraBiTijara.Shamela0006956-ara1.mARkdown,NULL,https://raw.githubusercontent.com/OpenITI/RELEASE/master/data/0255Jahiz/0255Jahiz.TabsiraBiTijara/0255Jahiz.TabsiraBiTijara.Shamela0006956-ara1.mARkdown,NULL,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.TabsiraBiTijara/0255Jahiz.TabsiraBiTijara.Shamela0006956-ara1.mARkdown,0255Jahiz.TabsiraBiTijara.Shamela0006956-ara1,NULL,10.5281/zenodo.17767721,NULL,NULL,NULL,TXT,NULL,NULL,NULL,false,NULL,true,UNVERIFIED,UNVERIFIED,NULL,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,ara,ara,pri
0255Jahiz.TafdilBatn.Shamela0010428BK38-ara1,0255Jahiz.TafdilBatn,ed_5eb52be2,OpenITI / KITAB,Shamela0010428BK38,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.TafdilBatn/0255Jahiz.TafdilBatn.Shamela0010428BK38-ara1.mARkdown,NULL,https://raw.githubusercontent.com/OpenITI/RELEASE/master/data/0255Jahiz/0255Jahiz.TafdilBatn/0255Jahiz.TafdilBatn.Shamela0010428BK38-ara1.mARkdown,NULL,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.TafdilBatn/0255Jahiz.TafdilBatn.Shamela0010428BK38-ara1.mARkdown,0255Jahiz.TafdilBatn.Shamela0010428BK38-ara1,NULL,10.5281/zenodo.17767721,NULL,NULL,NULL,TXT,NULL,NULL,NULL,false,NULL,true,UNVERIFIED,UNVERIFIED,NULL,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,ara,ara,pri
0255Jahiz.TafdilBatn.Shamela0010670BK4-ara2,0255Jahiz.TafdilBatn,ed_ea838003,OpenITI / KITAB,Shamela0010670BK4,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.TafdilBatn/0255Jahiz.TafdilBatn.Shamela0010670BK4-ara2.mARkdown,NULL,https://raw.githubusercontent.com/OpenITI/RELEASE/master/data/0255Jahiz/0255Jahiz.TafdilBatn/0255Jahiz.TafdilBatn.Shamela0010670BK4-ara2.mARkdown,NULL,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.TafdilBatn/0255Jahiz.TafdilBatn.Shamela0010670BK4-ara2.mARkdown,0255Jahiz.TafdilBatn.Shamela0010670BK4-ara2,NULL,10.5281/zenodo.17767721,NULL,NULL,NULL,TXT,NULL,NULL,NULL,false,NULL,true,UNVERIFIED,UNVERIFIED,NULL,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,ara,ara,sec
0255Jahiz.TafdilNutq.Shamela0010428BK43-ara1,0255Jahiz.TafdilNutq,ed_1ab0d0ff,OpenITI / KITAB,Shamela0010428BK43,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.TafdilNutq/0255Jahiz.TafdilNutq.Shamela0010428BK43-ara1.mARkdown,NULL,https://raw.githubusercontent.com/OpenITI/RELEASE/master/data/0255Jahiz/0255Jahiz.TafdilNutq/0255Jahiz.TafdilNutq.Shamela0010428BK43-ara1.mARkdown,NULL,https://github.com/OpenITI/RELEASE/blob/master/data/0255Jahiz/0255Jahiz.TafdilNutq/0255Jahiz.TafdilNutq.Shamela0010428BK43-ara1.mARkdown,0255Jahiz.TafdilNutq.Shamela0010428BK43-ara1,NULL,10.5281/zenodo.17767721,NULL,NULL,NULL,TXT,NULL,NULL,NULL,false,NULL,true,UNVERIFIED,UNVERIFIED,NULL,CAN_IMPORT_TEXT,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,HOST_ON_PROJECT_STORAGE,ara,ara,pri
