manuscript_id,work_id,record_type,institution,collection,shelfmark,catalog_title,catalog_url,digitized_url,iiif_manifest,folio_count,date,place,scribe,material,script,language,description,rights_statement,rights_url,download_allowed,local_hosting_allowed,attribution,image_resolution,ocr_available,rights_status,ingestion_priority,transcription_url
openiti_mss_MS0093KabulANA.Firuzkuh39.IEDC0124-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 39,,https://www.invisible-east.org/corpus/124/,https://www.invisible-east.org/corpus/124/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh39.IEDC0124-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh39/MS0093KabulANA.Firuzkuh39.IEDC0124-per1
openiti_mss_MS0093KabulANA.Firuzkuh4.IEDC0253-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 4,,https://www.invisible-east.org/corpus/253/,https://www.invisible-east.org/corpus/253/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh4.IEDC0253-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh4/MS0093KabulANA.Firuzkuh4.IEDC0253-per1
openiti_mss_MS0093KabulANA.Firuzkuh40.IEDC0126-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 40,,https://www.invisible-east.org/corpus/126/,https://www.invisible-east.org/corpus/126/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh40.IEDC0126-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh40/MS0093KabulANA.Firuzkuh40.IEDC0126-per1
openiti_mss_MS0093KabulANA.Firuzkuh41.IEDC0127-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 41,,https://www.invisible-east.org/corpus/127/,https://www.invisible-east.org/corpus/127/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh41.IEDC0127-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh41/MS0093KabulANA.Firuzkuh41.IEDC0127-per1
openiti_mss_MS0093KabulANA.Firuzkuh42.IEDC0129-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 42,,https://www.invisible-east.org/corpus/129/,https://www.invisible-east.org/corpus/129/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh42.IEDC0129-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh42/MS0093KabulANA.Firuzkuh42.IEDC0129-per1
openiti_mss_MS0093KabulANA.Firuzkuh43.IEDC0130-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 43,,https://www.invisible-east.org/corpus/130/,https://www.invisible-east.org/corpus/130/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh43.IEDC0130-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh43/MS0093KabulANA.Firuzkuh43.IEDC0130-per1
openiti_mss_MS0093KabulANA.Firuzkuh44.IEDC0131-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 44,,https://www.invisible-east.org/corpus/131/,https://www.invisible-east.org/corpus/131/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh44.IEDC0131-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh44/MS0093KabulANA.Firuzkuh44.IEDC0131-per1
openiti_mss_MS0093KabulANA.Firuzkuh45.IEDC0132-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 45,,https://www.invisible-east.org/corpus/132/,https://www.invisible-east.org/corpus/132/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh45.IEDC0132-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh45/MS0093KabulANA.Firuzkuh45.IEDC0132-per1
openiti_mss_MS0093KabulANA.Firuzkuh46.IEDC0135-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 46,,https://www.invisible-east.org/corpus/135/,https://www.invisible-east.org/corpus/135/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh46.IEDC0135-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh46/MS0093KabulANA.Firuzkuh46.IEDC0135-per1
openiti_mss_MS0093KabulANA.Firuzkuh47.IEDC0136-per1,,TRANSCRIPTION,Afghanistan National Archives,,Firuzkuh 47,,https://www.invisible-east.org/corpus/136/,https://www.invisible-east.org/corpus/136/,,,,Kabul,,,,per,OpenITI MSS machine-readable transcription; page-image rights are separate.,OpenITI transcription under CC BY-NC-SA 4.0; image rights separate,https://kitab-project.org/docs/openITI,True,True,OpenITI URI MS0093KabulANA.Firuzkuh47.IEDC0136-per1,,False,CLEARED_WITH_ATTRIBUTION,P1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/MS0093KabulANA/MS0093KabulANA.Firuzkuh47/MS0093KabulANA.Firuzkuh47.IEDC0136-per1
