work_id,canonical_title_ar,canonical_title_en,alternate_titles,author_id,author_name_ar,author_name_en,author_death_hijri,category_primary,category_secondary,subjects,era,language_original,description_short,work_status,bibliographic_source,bibliographic_source_url
0001MuhalhilIbnRabica.Diwan,ديوان مهلهل بن ربيعة,Diwan,,Muhalhil Ibn Rabica,مهلهل بن ربيعة,Muhalhil Ibn Rabica,0001,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0001AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0001MuthaqqibCabdi.Diwan,ديوان المثقب العبدي,Diwan,,Muthaqqib Cabdi,المثقب العبدي,Muthaqqib Cabdi,0001,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0001AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0001NabighaDhubyani.Diwan,ديوان النابغة الذبياني,Diwan,,Nabigha Dhubyani,النابغة الذبياني,Nabigha Dhubyani,0001,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0001AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0001QaysIbnKhatim.Diwan,ديوان قيس بن الخطيم,Diwan,,Qays Ibn Khatim,قيس بن الخطيم,Qays Ibn Khatim,0001,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0001AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0001Quran.Mushaf,القران,al-Qurān,المصحف,Quran,القرآن,Quran,0001,A-القرآن الكريم وعلومه,علوم القرآن,علوم القرآن,d.0001AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0001SalamaIbnJandal.Diwan,ديوان سلامة بن جندل,Diwan,,Salama Ibn Jandal,سلامة بن جندل,Salama Ibn Jandal,0001,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0001AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0001SamawalIbnCadiya.Diwan,ديوان السموأل,Diwan,,Samawal Ibn Cadiya,السموأل,Samawal Ibn Cadiya,0001,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0001AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0001Shanfara.Diwan,ديوان الشنفرى,Diwan,ديوان الشنفرى,Shanfara,عمرو بن مالك الأزدي توفي في عام 70 قبل الهجرة,Shanfara,0001,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0001AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0001SulaykIbnSulaka.Diwan,ديوان السليك بن عمرو,Diwan,,Sulayk Ibn Sulaka,السليك بن عمرو,Sulayk Ibn Sulaka,0001,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0001AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0001TaabbataSharran.Diwan,ديوان ثابت بن جابر,Diwan,,Taabbata Sharran,ثابت بن جابر,Taabbata Sharran,0001,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0001AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
