duplicate_group_id,work_id,version_count,digital_version_ids,duplicate_basis
dup_openiti_work_0001Shanfara.Diwan,openiti_work_0001Shanfara.Diwan,2,"[""openiti_dv_0001Shanfara.Diwan.JK007509-ara1"",""openiti_dv_0001Shanfara.Diwan.ShamAY0037893-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001SulaykIbnSulaka.Diwan,openiti_work_0001SulaykIbnSulaka.Diwan,2,"[""openiti_dv_0001SulaykIbnSulaka.Diwan.JK007507-ara1"",""openiti_dv_0001SulaykIbnSulaka.Diwan.ShamAY0037886-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001TaabbataSharran.Diwan,openiti_work_0001TaabbataSharran.Diwan,2,"[""openiti_dv_0001TaabbataSharran.Diwan.JK007513-ara1"",""openiti_dv_0001TaabbataSharran.Diwan.ShamAY0037943-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001TarafaIbnCabd.Diwan,openiti_work_0001TarafaIbnCabd.Diwan,2,"[""openiti_dv_0001TarafaIbnCabd.Diwan.JK007518-ara2"",""openiti_dv_0001TarafaIbnCabd.Diwan.Shamela0036422-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001TufaylGhanawi.Diwan,openiti_work_0001TufaylGhanawi.Diwan,2,"[""openiti_dv_0001TufaylGhanawi.Diwan.JK007519-ara1"",""openiti_dv_0001TufaylGhanawi.Diwan.ShamAY0037934-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0001ZuhayrIbnAbiSulma.Diwan,openiti_work_0001ZuhayrIbnAbiSulma.Diwan,2,"[""openiti_dv_0001ZuhayrIbnAbiSulma.Diwan.JK007516-ara1"",""openiti_dv_0001ZuhayrIbnAbiSulma.Diwan.ShamAY0037933-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0005Hadira.Diwan,openiti_work_0005Hadira.Diwan,2,"[""openiti_dv_0005Hadira.Diwan.JK007504-ara1"",""openiti_dv_0005Hadira.Diwan.ShamAY0037847-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0011CamirIbnTufayl.Diwan,openiti_work_0011CamirIbnTufayl.Diwan,2,"[""openiti_dv_0011CamirIbnTufayl.Diwan.JK007520-ara1"",""openiti_dv_0011CamirIbnTufayl.Diwan.Sham19Y0149871-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0021CamrZubaydi.Diwan,openiti_work_0021CamrZubaydi.Diwan,2,"[""openiti_dv_0021CamrZubaydi.Diwan.JK007536-ara1"",""openiti_dv_0021CamrZubaydi.Diwan.ShamAY0037905-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0022ShammakhIbnDirar.Diwan,openiti_work_0022ShammakhIbnDirar.Diwan,2,"[""openiti_dv_0022ShammakhIbnDirar.Diwan.JK007533-ara1"",""openiti_dv_0022ShammakhIbnDirar.Diwan.ShamAY0037892-ara1""]",Same OpenITI work URI; retain versions separately.
