digital_version_id,work_id,edition_id_if_known,provider,provider_record_id,canonical_landing_url,read_online_url,direct_file_url,api_url,repository_url,openiti_uri,archive_identifier,doi,handle,urn,iiif_manifest,format,file_size_if_known,page_count_if_known,volume_number,ocr_available,ocr_quality,searchable_text,table_of_contents_available,chapter_structure_available,checksum_if_provider_gives_it,reading_capability,reading_capability_reason,viewer_strategy,download_capability,rights_status,rights_notes,local_storage_recommendation,storage_condition,ingestion_priority
openiti_dv_0001AbuTalibCabdManaf.Diwan.JK007501-ara1,openiti_work_0001AbuTalibCabdManaf.Diwan,,OpenITI / KITAB Project,0001AbuTalibCabdManaf.Diwan.JK007501-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001AbuTalibCabdManaf/0001AbuTalibCabdManaf.Diwan/0001AbuTalibCabdManaf.Diwan.JK007501-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001AbuTalibCabdManaf/0001AbuTalibCabdManaf.Diwan/0001AbuTalibCabdManaf.Diwan.JK007501-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001AbuTalibCabdManaf/0001AbuTalibCabdManaf.Diwan/0001AbuTalibCabdManaf.Diwan.JK007501-ara1,,https://github.com/OpenITI/RELEASE/tree/v2025.1.9,0001AbuTalibCabdManaf.Diwan.JK007501-ara1,,,,,,TXT_MARKDOWN,,,,False,NOT_OCR_FLAGGED_BY_PROVIDER,True,UNVERIFIED,OPENITI_MARKUP_PRESENT_OR_UNVERIFIED_BY_VERSION,,CAN_IMPORT_TEXT,Machine-readable OpenITI version; preserve original; not a critical-edition claim.,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,CC BY-NC-SA 4.0; no commercial permission by default.,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.,P1
openiti_dv_0001AbuTalibCabdManaf.Diwan.ShamAY0037822-ara1,openiti_work_0001AbuTalibCabdManaf.Diwan,,OpenITI / KITAB Project,0001AbuTalibCabdManaf.Diwan.ShamAY0037822-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001AbuTalibCabdManaf/0001AbuTalibCabdManaf.Diwan/0001AbuTalibCabdManaf.Diwan.ShamAY0037822-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001AbuTalibCabdManaf/0001AbuTalibCabdManaf.Diwan/0001AbuTalibCabdManaf.Diwan.ShamAY0037822-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001AbuTalibCabdManaf/0001AbuTalibCabdManaf.Diwan/0001AbuTalibCabdManaf.Diwan.ShamAY0037822-ara1,,https://github.com/OpenITI/RELEASE/tree/v2025.1.9,0001AbuTalibCabdManaf.Diwan.ShamAY0037822-ara1,,,,,,TXT_MARKDOWN,,,,False,NOT_OCR_FLAGGED_BY_PROVIDER,True,UNVERIFIED,OPENITI_MARKUP_PRESENT_OR_UNVERIFIED_BY_VERSION,,CAN_IMPORT_TEXT,Machine-readable OpenITI version; preserve original; not a critical-edition claim.,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,CC BY-NC-SA 4.0; no commercial permission by default.,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.,P1
openiti_dv_0001AwsIbnHajar.Diwan.JK007502-ara1,openiti_work_0001AwsIbnHajar.Diwan,,OpenITI / KITAB Project,0001AwsIbnHajar.Diwan.JK007502-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001AwsIbnHajar/0001AwsIbnHajar.Diwan/0001AwsIbnHajar.Diwan.JK007502-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001AwsIbnHajar/0001AwsIbnHajar.Diwan/0001AwsIbnHajar.Diwan.JK007502-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001AwsIbnHajar/0001AwsIbnHajar.Diwan/0001AwsIbnHajar.Diwan.JK007502-ara1,,https://github.com/OpenITI/RELEASE/tree/v2025.1.9,0001AwsIbnHajar.Diwan.JK007502-ara1,,,,,,TXT_MARKDOWN,,,,False,NOT_OCR_FLAGGED_BY_PROVIDER,True,UNVERIFIED,OPENITI_MARKUP_PRESENT_OR_UNVERIFIED_BY_VERSION,,CAN_IMPORT_TEXT,Machine-readable OpenITI version; preserve original; not a critical-edition claim.,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,CC BY-NC-SA 4.0; no commercial permission by default.,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.,P1
openiti_dv_0001AwsIbnHajar.Diwan.ShamAY0037914-ara1,openiti_work_0001AwsIbnHajar.Diwan,,OpenITI / KITAB Project,0001AwsIbnHajar.Diwan.ShamAY0037914-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001AwsIbnHajar/0001AwsIbnHajar.Diwan/0001AwsIbnHajar.Diwan.ShamAY0037914-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001AwsIbnHajar/0001AwsIbnHajar.Diwan/0001AwsIbnHajar.Diwan.ShamAY0037914-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001AwsIbnHajar/0001AwsIbnHajar.Diwan/0001AwsIbnHajar.Diwan.ShamAY0037914-ara1,,https://github.com/OpenITI/RELEASE/tree/v2025.1.9,0001AwsIbnHajar.Diwan.ShamAY0037914-ara1,,,,,,TXT_MARKDOWN,,,,False,NOT_OCR_FLAGGED_BY_PROVIDER,True,UNVERIFIED,OPENITI_MARKUP_PRESENT_OR_UNVERIFIED_BY_VERSION,,CAN_IMPORT_TEXT,Machine-readable OpenITI version; preserve original; not a critical-edition claim.,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,CC BY-NC-SA 4.0; no commercial permission by default.,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.,P1
openiti_dv_0001CalqamaFahl.Diwan.JK007522-ara1,openiti_work_0001CalqamaFahl.Diwan,,OpenITI / KITAB Project,0001CalqamaFahl.Diwan.JK007522-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001CalqamaFahl/0001CalqamaFahl.Diwan/0001CalqamaFahl.Diwan.JK007522-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001CalqamaFahl/0001CalqamaFahl.Diwan/0001CalqamaFahl.Diwan.JK007522-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001CalqamaFahl/0001CalqamaFahl.Diwan/0001CalqamaFahl.Diwan.JK007522-ara1,,https://github.com/OpenITI/RELEASE/tree/v2025.1.9,0001CalqamaFahl.Diwan.JK007522-ara1,,,,,,TXT_MARKDOWN,,,,False,NOT_OCR_FLAGGED_BY_PROVIDER,True,UNVERIFIED,OPENITI_MARKUP_PRESENT_OR_UNVERIFIED_BY_VERSION,,CAN_IMPORT_TEXT,Machine-readable OpenITI version; preserve original; not a critical-edition claim.,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,CC BY-NC-SA 4.0; no commercial permission by default.,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.,P1
openiti_dv_0001CalqamaFahl.Diwan.ShamAY0037936-ara1,openiti_work_0001CalqamaFahl.Diwan,,OpenITI / KITAB Project,0001CalqamaFahl.Diwan.ShamAY0037936-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001CalqamaFahl/0001CalqamaFahl.Diwan/0001CalqamaFahl.Diwan.ShamAY0037936-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001CalqamaFahl/0001CalqamaFahl.Diwan/0001CalqamaFahl.Diwan.ShamAY0037936-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001CalqamaFahl/0001CalqamaFahl.Diwan/0001CalqamaFahl.Diwan.ShamAY0037936-ara1,,https://github.com/OpenITI/RELEASE/tree/v2025.1.9,0001CalqamaFahl.Diwan.ShamAY0037936-ara1,,,,,,TXT_MARKDOWN,,,,False,NOT_OCR_FLAGGED_BY_PROVIDER,True,UNVERIFIED,OPENITI_MARKUP_PRESENT_OR_UNVERIFIED_BY_VERSION,,CAN_IMPORT_TEXT,Machine-readable OpenITI version; preserve original; not a critical-edition claim.,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,CC BY-NC-SA 4.0; no commercial permission by default.,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.,P1
openiti_dv_0001CamrIbnKulthum.Diwan.JK007524-ara1,openiti_work_0001CamrIbnKulthum.Diwan,,OpenITI / KITAB Project,0001CamrIbnKulthum.Diwan.JK007524-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Diwan/0001CamrIbnKulthum.Diwan.JK007524-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Diwan/0001CamrIbnKulthum.Diwan.JK007524-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Diwan/0001CamrIbnKulthum.Diwan.JK007524-ara1,,https://github.com/OpenITI/RELEASE/tree/v2025.1.9,0001CamrIbnKulthum.Diwan.JK007524-ara1,,,,,,TXT_MARKDOWN,,,,False,NOT_OCR_FLAGGED_BY_PROVIDER,True,UNVERIFIED,OPENITI_MARKUP_PRESENT_OR_UNVERIFIED_BY_VERSION,,CAN_IMPORT_TEXT,Machine-readable OpenITI version; preserve original; not a critical-edition claim.,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,CC BY-NC-SA 4.0; no commercial permission by default.,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.,P1
openiti_dv_0001CamrIbnKulthum.Diwan.ShamAY0037904-ara1,openiti_work_0001CamrIbnKulthum.Diwan,,OpenITI / KITAB Project,0001CamrIbnKulthum.Diwan.ShamAY0037904-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Diwan/0001CamrIbnKulthum.Diwan.ShamAY0037904-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Diwan/0001CamrIbnKulthum.Diwan.ShamAY0037904-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Diwan/0001CamrIbnKulthum.Diwan.ShamAY0037904-ara1,,https://github.com/OpenITI/RELEASE/tree/v2025.1.9,0001CamrIbnKulthum.Diwan.ShamAY0037904-ara1,,,,,,TXT_MARKDOWN,,,,False,NOT_OCR_FLAGGED_BY_PROVIDER,True,UNVERIFIED,OPENITI_MARKUP_PRESENT_OR_UNVERIFIED_BY_VERSION,,CAN_IMPORT_TEXT,Machine-readable OpenITI version; preserve original; not a critical-edition claim.,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,CC BY-NC-SA 4.0; no commercial permission by default.,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.,P1
openiti_dv_0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1,openiti_work_0001CamrIbnKulthum.Mucallaqa,,OpenITI / KITAB Project,0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Mucallaqa/0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Mucallaqa/0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001CamrIbnKulthum/0001CamrIbnKulthum.Mucallaqa/0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1,,https://github.com/OpenITI/RELEASE/tree/v2025.1.9,0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1,,,,,,TXT_MARKDOWN,,,,False,NOT_OCR_FLAGGED_BY_PROVIDER,True,UNVERIFIED,OPENITI_MARKUP_PRESENT_OR_UNVERIFIED_BY_VERSION,,CAN_IMPORT_TEXT,Machine-readable OpenITI version; preserve original; not a critical-edition claim.,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,CC BY-NC-SA 4.0; no commercial permission by default.,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.,P1
openiti_dv_0001CamrIbnMalik.Diwan.JK007525-ara1,openiti_work_0001CamrIbnMalik.Diwan,,OpenITI / KITAB Project,0001CamrIbnMalik.Diwan.JK007525-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001CamrIbnMalik/0001CamrIbnMalik.Diwan/0001CamrIbnMalik.Diwan.JK007525-ara1,https://github.com/OpenITI/RELEASE/blob/v2025.1.9/data/0001CamrIbnMalik/0001CamrIbnMalik.Diwan/0001CamrIbnMalik.Diwan.JK007525-ara1,https://raw.githubusercontent.com/OpenITI/RELEASE/v2025.1.9/data/0001CamrIbnMalik/0001CamrIbnMalik.Diwan/0001CamrIbnMalik.Diwan.JK007525-ara1,,https://github.com/OpenITI/RELEASE/tree/v2025.1.9,0001CamrIbnMalik.Diwan.JK007525-ara1,,,,,,TXT_MARKDOWN,,,,False,NOT_OCR_FLAGGED_BY_PROVIDER,True,UNVERIFIED,OPENITI_MARKUP_PRESENT_OR_UNVERIFIED_BY_VERSION,,CAN_IMPORT_TEXT,Machine-readable OpenITI version; preserve original; not a critical-edition claim.,TEXT_READER,DOWNLOAD_ALLOWED,CLEARED_WITH_ATTRIBUTION,CC BY-NC-SA 4.0; no commercial permission by default.,HOST_ON_PROJECT_STORAGE,Only when deployment/use complies with CC BY-NC-SA 4.0.,P1
