edition_id,work_id,edition_title,publisher,publication_city,publication_country,publication_year,edition_number,volume_count,editor,reviewer,translator,isbn,series,print_notes,bibliographic_record_url
openiti_edition_LAL2018100901,openiti_work_0001CantaraIbnShaddad.Diwan,ديوان عنترة بن شداد,,,,,,,,,,,,https://www.worldcat.org/nl/title/1088803462 :: جيمس مونتغنري :: James E. Montgomery :: New York University Press,https://www.worldcat.org/nl/title/1088803462
openiti_edition_Shamela0027112,openiti_work_0001ImruQaysIbnHujr.Diwan,ديوان امرؤ القيس,,,,,,,,,,,,دار المعرفة - بيروت,
openiti_edition_QuranAnalysis001,openiti_work_0001Quran.Mushaf,القران,,,,,,,,,,,,https://qurananalysis.com/analysis/full-quran-text.php,https://qurananalysis.com/analysis/full-quran-text.php
openiti_edition_Shamela0036422,openiti_work_0001TarafaIbnCabd.Diwan,ديوان طرفة بن العبد,,,,,,,,,,,,مهدي محمد ناصر الدين :: دار الكتب العلمية,
openiti_edition_Sham19Y0149871,openiti_work_0011CamirIbnTufayl.Diwan,ديوان عامر بن الطفيل,,,,,,,,,,,,1399 ه - 1979 م :: دار صادر - بيروت,
openiti_edition_Shamela0035077,openiti_work_0041LabidIbnRabica.Diwan,ديوان لبيد بن ربيعة العامري,,,,,,,,,,,,دار المعرفة,
openiti_edition_Sham19Y0149482,openiti_work_0060MucawiyaIbnAbiSufyan.Diwan,ديوان معاوية بن أبي سفيان,,,,,,,,,,,,الأولى، 1996 م :: دار صادر - بيروت,
openiti_edition_Sham19Y0149485,openiti_work_0060SuwaydIbnAbiKahil.Diwan,ديوان سويد بن أبي كاهل اليشكري,,,,,,,,,,,,الأولى، 1972 م :: ساعدت وزارة الإعلام على نشره,
openiti_edition_Sham19Y0149016,openiti_work_0063AbuDihbilJumahi.Diwan,ديوان أبي دهبل الجمحي,,,,,,,,,,,,عبد العظيم عبد المحسن :: الأولى، 1392 ه - 1972 م :: مطبعة القضاء في النجف الأشرف,
openiti_edition_Zaydiyya0000300,openiti_work_0068CabdAllahIbnCabbas.GharibQuran,غريب القرآن في شعر العرب ((مسائل نافع بن الأزرق لعبد الله بن عباس - رضي الله عنه وعن أبيه)),,,,,,,,,,,,عبدالكريم جدبان.,
openiti_edition_Sham19Y0149874,openiti_work_0080LaylaAkhyaliyya.Diwan,ديوان ليلى الأخيلية,,,,,,,,,,,,وزارة الثقافة والإرشاد - مديرية الثقافة العامة، العراق,
openiti_edition_Shia001265,openiti_work_0085SulaymIbnQaysHilali.KitabSulaym,كتاب سليم بن قيس,,,,,,,,,,,,محمد باقر الأنصاري الزنجاني,
openiti_edition_JK000459,openiti_work_0104MujahidIbnJabr.Tafsir,تفسير مجاهد,,,,,,,,,,,,عبدالرحمن الطاهر محمد السورتي :: بيروت :: المنشورات العلمية,
openiti_edition_ShamAY0034071,openiti_work_0104MujahidIbnJabr.Tafsir,تفسير مجاهد,,,,,,,,,,,,عبدالرحمن الطاهر محمد السورتي :: المنشورات العلمية - بيروت,
openiti_edition_Shamela0012810,openiti_work_0104MujahidIbnJabr.Tafsir,تفسير مجاهد,,,,,,,,,,,,الدكتور محمد عبد السلام أبو النيل :: دار الفكر الإسلامي الحديثة، مصر,
openiti_edition_Shia002456Vols,openiti_work_0104MujahidIbnJabr.Tafsir,تفسير مجاهد,,,,,,,,,,,,عبد الرحمن الطاهر بن محمد السورتي - مجمع البحوث الإسلامية - إسلام آباد,
openiti_edition_JK000644,openiti_work_0110HasanBasri.FadailMakka,فضائل مكة,,,,,,,,,,,,سامي مكي العاني :: الكويت :: 1400 :: مكتبة الفلاح,
openiti_edition_Shamela0005722,openiti_work_0110HasanBasri.FadailMakka,فضائل مكة,,,,,,,,,,,,http://www.worldcat.org/oclc/8850761 :: سامي مكي العاني :: مكتبة الفلاح - الكويت,http://www.worldcat.org/oclc/8850761
openiti_edition_Shia003454,openiti_work_0110HasanBasri.FadailMakka,فضائل مكة,,,,,,,,,,,,سامي مكي العاني :: 1400,
openiti_edition_ShamAY0035241,openiti_work_0110HasanBasri.TarghibMakka,الترغيب في الإقامة بمكة للحسن البصري,,,,,,,,,,,,الدكتور جميل عبد الله عويضة,
openiti_edition_JK006856,openiti_work_0110IbnSirin.MuntakhabKalamFiTafsirAhlam,منتخب الكلام في تفسير الأحلام,,,,,,,,,,,,بيروت :: دار الفكر,
openiti_edition_Shamela0021615,openiti_work_0110IbnSirin.MuntakhabKalamFiTafsirAhlam,منتخب الكلام في تفسير الأحلام,,,,,,,,,,,,شركة مكتبة ومطبعة مصطفى البابي الحلبي وأولاده,
openiti_edition_Shia004640Vols,openiti_work_0110IbnSirin.MuntakhabKalamFiTafsirAhlam,منتخب الكلام في تفسير الأحلام,,,,,,,,,,,,1359 - 1940 م,
openiti_edition_Sham19Y0133412,openiti_work_0110JarirShacir.Diwan,ديوان جرير,,,,,,,,,,,,د. نعمان محمد أمين طه :: الثالثة :: دار المعارف، القاهرة - مصر,
openiti_edition_JK000163,openiti_work_0117IbnDicamaSadusi.NasikhWaMansukh,الناسخ والنسوخ,,,,,,,,,,,,د. حاتم صالح الضامن :: بيروت :: 1404 :: مؤسسة الرسالة,
openiti_edition_Shamela0008491,openiti_work_0117IbnDicamaSadusi.NasikhWaMansukh,الناسخ والنسوخ,,,,,,,,,,,,حاتم صالح الضامن، كلية الآداب - جامعة بغداد :: مؤسسة الرسالة,
openiti_edition_Shia002458,openiti_work_0117IbnDicamaSadusi.NasikhWaMansukh,الناسخ والنسوخ,,,,,,,,,,,,الدكتور حاتم صالح الضامن :: 1409,
openiti_edition_Zaydiyya0000052,openiti_work_0122ZaydIbnCali.Musnad,مسند,,,,,,,,,,,,http://www.worldcat.org/oclc/745191363,http://www.worldcat.org/oclc/745191363
openiti_edition_JK000872,openiti_work_0124IbnShihabZuhri.TanzilQuran,تنزيل القرآن,,,,,,,,,,,,د. صلاح الدين المنجد :: بيروت :: 1980 :: دار الكتاب الجديد,
openiti_edition_ShamAY0034089,openiti_work_0124IbnShihabZuhri.TanzilQuran,تنزيل القرآن,,,,,,,,,,,,د. صلاح الدين المنجد :: دار الكتاب الحديث - بيروت,
openiti_edition_Shamela0026887,openiti_work_0124IbnShihabZuhri.TanzilQuran,تنزيل القرآن,,,,,,,,,,,,حاتم صالح الضامن :: مؤسسة الرسالة,
openiti_edition_Shamela0030310,openiti_work_0128IbnAbiHabibMisri.AhadithYazid,أحاديث يزيد بن أبي حبيب المصري,,,,,,,,,,,,حمزة أحمد الزين :: 2004م :: دار الحديث - القاهرة,
openiti_edition_Shamela0029699,openiti_work_0131ZubayrHamdani.NuskhatZubayr,نسخة الزبير بن عدي,,,,,,,,,,,,مخطوط نشر في برنامج جوامع الكلم المجاني التابع لموقع الشبكة الإسلامية,
openiti_edition_JK000489,openiti_work_0132HammamIbnMunabbih.Sahifa,صحيفة همام بن منبه,,,,,,,,,,,,"علي حسن علي عبد الحميد :: بيروت , عمان :: 1407 - 1987 :: المكتب الإسلامي , دار عمار",
openiti_edition_Shamela0007776,openiti_work_0132HammamIbnMunabbih.Sahifa,صحيفة همام بن منبه,,,,,,,,,,,,"علي حسن علي عبد الحميد :: المكتب الإسلامي , دار عمار - بيروت , عمان",
openiti_edition_Shia001878,openiti_work_0132HammamIbnMunabbih.Sahifa,صحيفة همام بن منبه,,,,,,,,,,,,دكتور رفعت فوزي :: 1406 - 1985 م,
openiti_edition_JK009203,openiti_work_0139IbnMuqaffac.AdabKabir,كتاب الأدب الكبير,,,,,,,,,,,,أحمد زكي باشا :: لبنان / بيروت :: 1414هـ - 1994م :: دار ابن حزم,
openiti_edition_Shamela0007528BK2,openiti_work_0139IbnMuqaffac.AdabKabir,كتاب الأدب الكبير,,,,,,,,,,,,دار صادر - بيروت,
openiti_edition_Hindawi094852947,openiti_work_0139IbnMuqaffac.DurraYatima,الدرة اليتيمة,,,,,,,,,,,,شكيب أرسلان,
openiti_edition_LAL2022011101,openiti_work_0139IbnMuqaffac.KalilaWaDimna,كليلة ودمنة,,,,,,,,,,,,https://www.worldcat.org/nl/title/1302164357 :: مايكل فشبن :: Michael Fishbein :: New York University Press,https://www.worldcat.org/nl/title/1302164357
openiti_edition_Shamela0026537,openiti_work_0139IbnMuqaffac.KalilaWaDimna,كليلة ودمنة,,,,,,,,,,,,المطبعة الأميرية ببولاق - القاهرة، 1937,
openiti_edition_Shamela0001342,openiti_work_0141MusaIbnCuqba.AhadithMinMaghazi,أحاديث منتخبة من مغازي موسى بن عقبة,,,,,,,,,,,,مشهور حسن سلمان :: مؤسسة الريان - دار ابن حزم,
openiti_edition_Masaha004555,openiti_work_0145MufaddalIbnCumarJucfi.Tawhid,توحيد المفضل‏,,,,,,,,,,,,كاظم‏ المظفر :: داوري‏,
openiti_edition_Rafed0000725,openiti_work_0145MufaddalIbnCumarJucfi.Tawhid,توحيد المفضل‏,,,,,,,,,,,,3 :: مكتبة الداوري,
openiti_edition_Shia001267,openiti_work_0145MufaddalIbnCumarJucfi.Tawhid,توحيد المفضل‏,,,,,,,,,,,,تعليق : كاظم المظفر :: 1404 - 1984 م,
openiti_edition_Shamela0026745,openiti_work_0146MujacaIbnZubayr.MinHadith,من حديث أبي عبيدة مجاعة بن الزبير العتكي البصري,,,,,,,,,,,,عامر حسن صبري :: دار البشائر الإسلامية [ضمن سلسلة الأجزاء والكتب الحديثية (20)],
openiti_edition_Shia002333,openiti_work_0148AbuHamzaThumali.Tafsir,تفسير أبي حمزة الثمالي,,,,,,,,,,,,أعاد جمعه وتأليفه : عبد الرزاق محمد حسين حرز الدين / مراجعة وتقديم : الشيخ محمد هادي معرفة :: 1420 - 1378 ش,
openiti_edition_Shia001266,openiti_work_0148JacfarSadiq.MisbahSharica,مصباح الشريعة,,,,,,,,,,,,1400 - 1980 م,
openiti_edition_JK006837,openiti_work_0150AbuHanifa.FiqhAbsat,الفقه الأبسط,,,,,,,,,,,,الإمارات العربية :: 1419هـ - 1999م :: مكتبة الفرقان,
openiti_edition_Shamela0006387,openiti_work_0150AbuHanifa.FiqhAbsat,الفقه الأبسط,,,,,,,,,,,,http://www.worldcat.org/oclc/4770195551 :: مكتبة الفرقان - الإمارات العربية,http://www.worldcat.org/oclc/4770195551
openiti_edition_JK001085,openiti_work_0150AbuHanifa.FiqhAkbar,الفقه الأكبر,,,,,,,,,,,,http://www.worldcat.org/oclc/4770195551 :: الإمارات العربية :: 1419هـ - 1999م :: مكتبة الفرقان,http://www.worldcat.org/oclc/4770195551
openiti_edition_Shamela0006388,openiti_work_0150AbuHanifa.FiqhAkbar,الفقه الأكبر,,,,,,,,,,,,http://www.worldcat.org/oclc/4770195551 :: مكتبة الفرقان - الإمارات العربية,http://www.worldcat.org/oclc/4770195551
openiti_edition_Shamela0029120,openiti_work_0150AbuHanifa.Musnad,مسند أبي حنيفة رواية الحصكفي,,,,,,,,,,,,عبد الرحمن حسن محمود :: الآداب - مصر,
openiti_edition_ShamAY0035261,openiti_work_0150AbuHanifa.Wasiyya,وصية الإمام الأعظم أبي حنيفة,,,,,,,,,,,,الدكتور جميل عبد الله عويضة,
openiti_edition_JK007096,openiti_work_0150MuqatilIbnSulayman.TafsirMuqatil,مقاتل بن سليمان,,,,,,,,,,,,أحمد فريد :: لبنان/ بيروت :: 1424هـ - 2003م :: دار الكتب العلمية,
openiti_edition_ShamAY0034072,openiti_work_0150MuqatilIbnSulayman.TafsirMuqatil,مقاتل بن سليمان,,,,,,,,,,,,أحمد فريد :: الأولى :: دار الكتب العلمية - لبنان/ بيروت - 1424 ه - 2003 م,
openiti_edition_Shamela0023614,openiti_work_0150MuqatilIbnSulayman.TafsirMuqatil,مقاتل بن سليمان,,,,,,,,,,,,عبد الله محمود شحاته :: دار إحياء التراث - بيروت,
openiti_edition_Shia002459Vols,openiti_work_0150MuqatilIbnSulayman.TafsirMuqatil,مقاتل بن سليمان,,,,,,,,,,,,أحمد فريد :: 1424 - 2003م,
openiti_edition_Sham19Y0017869,openiti_work_0150SalihIbnJinahLakhmi.AdabMurua,الأدب والمروءة,,,,,,,,,,,,الأولى، 1412 ه - 1992 م :: دار الصحابة للتراث، طنطا - جمهورية مصر العربية,
openiti_edition_JK001038,openiti_work_0151IbnIshaq.Sira,سيرة  ابن اسحاق,,,,,,,,,,,,محمد حميد الله :: معهد الدراسات والأبحاث للتعريف,
openiti_edition_Masaha002221,openiti_work_0151IbnIshaq.Sira,سيرة  ابن اسحاق,,,,,,,,,,,,مكتب دراسات التاريخ و المعارف الإسلامية,
openiti_edition_Shamela0009862,openiti_work_0151IbnIshaq.Sira,سيرة  ابن اسحاق,,,,,,,,,,,,http://www.worldcat.org/oclc/165221953 :: سهيل زكار :: بيروت :: 1398 هـ /1978م :: دار الفكر,http://www.worldcat.org/oclc/165221953
openiti_edition_Shia003660Vols,openiti_work_0151IbnIshaq.Sira,سيرة  ابن اسحاق,,,,,,,,,,,,محمد حميد الله,
openiti_edition_JK000746,openiti_work_0151MacmarIbnRashid.Jamic,الجامع,,,,,,,,,,,,https://worldcat.org/en/title/43112425 :: حبيب الأعظمي (منشور كملحق بكتاب المصنف للصنعاني ج10) :: بيروت :: 1403 :: المكتب الإسلامي,https://worldcat.org/en/title/43112425
openiti_edition_Shamela0005610,openiti_work_0151MacmarIbnRashid.Jamic,الجامع,,,,,,,,,,,,حبيب الرحمن الأعظمي :: المجلس العلمي بباكستان، وتوزيع المكتب الإسلامي ببيروت,
openiti_edition_Shamela0009811,openiti_work_0156IbnAbiCuruba.Manasik,المناسك لابن أبي عروبة,,,,,,,,,,,,الدكتور عامر حسن صبري :: دار البشائر الإسلامية، بيروت - لبنان,
openiti_edition_Shia003665,openiti_work_0157AbuMikhnafAzdi.MaqtalHusayn,مقتل الحسين (ع),,,,,,,,,,,,تعليق : حسين الغفاري,
openiti_edition_Masaha003027,openiti_work_0157AbuMikhnafAzdi.WaqcatTaff,وقعة الطف‏,,,,,,,,,,,,جماعة المدرسين‏,
openiti_edition_Shamela0026488,openiti_work_0161SufyanThawri.Faraid,الفرائض للثوري,,,,,,,,,,,,دار العاصمة - الرياض,
openiti_edition_Shia001879,openiti_work_0161SufyanThawri.Faraid,الفرائض للثوري,,,,,,,,,,,,أبو عبد الله عبد العزيز عبد الله الهليل :: 1410,
openiti_edition_Shamela0026548,openiti_work_0161SufyanThawri.Hadith,من حديث الإمام سفيان بن سعيد الثوري,,,,,,,,,,,,عامر حسن صبري :: دار البشائر الإسلامية [ضمن سلسلة الأجزاء والكتب الحديثية (31)],
openiti_edition_JK000457,openiti_work_0161SufyanThawri.Tafsir,تفسير سفيان الثوري,,,,,,,,,,,,بيروت :: 1403 :: دار الكتب العلمية,
openiti_edition_Shamela0002229,openiti_work_0161SufyanThawri.Tafsir,تفسير سفيان الثوري,,,,,,,,,,,,دار الكتب العلمية، بيروت - لبنان,
openiti_edition_Shia002462,openiti_work_0161SufyanThawri.Tafsir,تفسير سفيان الثوري,,,,,,,,,,,,لجنة من العلماء :: 1403,
openiti_edition_Shamela0026922,openiti_work_0164MajishunMadani.Hajj,كتاب الحج من كتب عبد العزيز بن عبد الله بن أبي سلمة الماجشون,,,,,,,,,,,,ميكلوش موراني :: دار ابن حزم [طبع مع كتاب الحج مما ليس في المدونة للعتبي],
openiti_edition_Shamela0029701,openiti_work_0167SariIbnYahyaBasri.AhadithSari,أحاديث السري بن يحيى,,,,,,,,,,,,مخطوط نشر في برنامج جوامع الكلم المجاني التابع لموقع الشبكة الإسلامية,
openiti_edition_Shamela0024831,openiti_work_0168IbnTahman.Mashyakha,مشيخة ابن طهمان,,,,,,,,,,,,محمد طاهر مالك :: 1403 هـ - 1983 م :: مجمع اللغة العربية - دمشق,
openiti_edition_Shamela0001034,openiti_work_0168MufaddalDabbi.AmthalCarab,أمثال العرب,,,,,,,,,,,,إحسان عباس :: دار الرائد العربي، بيروت - لبنان,
openiti_edition_Shamela0009081,openiti_work_0168MufaddalDabbi.AmthalCarab,أمثال العرب,,,,,,,,,,,,دار ومكتبة الهلال، بيروت,
openiti_edition_JK006911,openiti_work_0168MufaddalDabbi.Mufaddaliyyat,المفضليات,,,,,,,,,,,,أحمد محمد شاكر و عبد السلام محمد هارون :: بيروت,
openiti_edition_Shamela0006904,openiti_work_0168MufaddalDabbi.Mufaddaliyyat,المفضليات,,,,,,,,,,,,http://www.worldcat.org/oclc/1006317987 :: أحمد محمد شاكر و عبد السلام محمد هارون :: دار المعارف - القاهرة,http://www.worldcat.org/oclc/1006317987
openiti_edition_JK006912,openiti_work_0170AbuZaydQurashi.JamharatAshcarCarab,جمهرة أشعار العرب,,,,,,,,,,,,عمر فاروق الطباع :: بيروت :: دار الأرقم,
openiti_edition_Shamela0001487,openiti_work_0170AbuZaydQurashi.JamharatAshcarCarab,جمهرة أشعار العرب,,,,,,,,,,,,علي محمد البجادي :: نهضة مصر للطباعة والنشر والتوزيع,
openiti_edition_JK000930,openiti_work_0170KhalilFarahidi.Cayn,العين,,,,,,,,,,,,د مهدي المخزومي / د إبراهيم السامرائي :: دار ومكتبة الهلال,
openiti_edition_Shamela0001682,openiti_work_0170KhalilFarahidi.Cayn,العين,,,,,,,,,,,,د مهدي المخزومي، د إبراهيم السامرائي :: دار ومكتبة الهلال,
openiti_edition_Shia003887Vols,openiti_work_0170KhalilFarahidi.Cayn,العين,,,,,,,,,,,,الدكتور مهدي المخزومي ، الدكتور إبراهيم السامرائي :: 1409,
openiti_edition_JK001109,openiti_work_0170KhalilFarahidi.JumalFiNahw,الجمل في النحو,,,,,,,,,,,,د . فخر الدين قباوة :: 1416هـ 1995م,
openiti_edition_ShamAY0034704,openiti_work_0170KhalilFarahidi.JumalFiNahw,الجمل في النحو,,,,,,,,,,,,فخر الدين قبادة :: بيروت :: الأولى :: 1405ه، 1985م :: مؤسسة الرسالة,
openiti_edition_Shamela0006961,openiti_work_0170KhalilFarahidi.JumalFiNahw,الجمل في النحو,,,,,,,,,,,,د. فخر الدين قباوة,
openiti_edition_ShamIbadiyya0000155,openiti_work_0170RabicIbnHabibAzdi.JamicSahih,الجامع الصحيح مسند الإمام الربيع بن حبيب,,,,,,,,,,,,دار الفتح للطباعة والنشر، بيروت، ومكتبة الاستقامة، روي، مسقط- سلطنة عمان,
openiti_edition_Shamela0009556,openiti_work_0175LaythIbnSacd.CasharatAhadith,عشرة أحاديث من الجزء المنتقى الأول والثاني من حديث الليث (مطبوع ضمن مجموع باسم الفوائد لابن منده!),,,,,,,,,,,,خلاف محمود عبد السميع :: دار الكتب العلمية، بيروت - لبنان,
openiti_edition_Shamela0005676,openiti_work_0175LaythIbnSacd.Cawali,عوالي الليث بن سعد,,,,,,,,,,,,عبد الكريم بكر الموصلي النعيمي :: مكتبة دار الوفاء - جدة,
openiti_edition_JK000863,openiti_work_0175LaythIbnSacd.MajlisMinFawaid,فوائد الليث بن سعد,,,,,,,,,,,,محمد بن رزق الطرهوني :: الرياض :: 1407 - 1987 :: دار عالم الكتب للنشر والتوزيع,
openiti_edition_Shamela0009812,openiti_work_0175LaythIbnSacd.MajlisMinFawaid,فوائد الليث بن سعد,,,,,,,,,,,,الشيخ محمد بن رزق بن الطرهوني :: دار عالم الكتب للنشر والتوزيع، الرياض,
openiti_edition_JK000466,openiti_work_0179MalikIbnAnas.Muwatta,الموطأ,,,,,,,,,,,,محمد فؤاد عبد الباقي :: مصر :: - :: دار إحياء التراث العربي,
openiti_edition_ShamAY0033921,openiti_work_0179MalikIbnAnas.Muwatta,الموطأ,,,,,,,,,,,,السيد محمد بن علوي بن عباس المالكي :: الأولى 1425 ه - 2004 م :: منشورات المجمع الثقافي، أبو ظبي - الإمارات,
openiti_edition_ShamAY0033922,openiti_work_0179MalikIbnAnas.Muwatta,الموطأ,,,,,,,,,,,,الشيخ محمد الشاذلي النيفر :: الرابعة 1982 :: دار الغرب الإسلامي,
openiti_edition_ShamAY0033923,openiti_work_0179MalikIbnAnas.Muwatta,الموطأ,,,,,,,,,,,,عبد المجيد تركي :: الأولى 1994 :: دار الغرب الإسلامي,
openiti_edition_ShamAY0033991,openiti_work_0179MalikIbnAnas.Muwatta,الموطأ,,,,,,,,,,,,ميكلوش موراني :: الأولى، 1433 ه - 2012 م :: دار البشائر الإسلامية - بيروت,
openiti_edition_Shamela0001699,openiti_work_0179MalikIbnAnas.Muwatta,الموطأ,,,,,,,,,,,,http://www.worldcat.org/oclc/1103834751 :: 1406 هـ - 1985 م :: دار إحياء التراث العربي، بيروت - لبنان,http://www.worldcat.org/oclc/1103834751
openiti_edition_Shamela0008140,openiti_work_0179MalikIbnAnas.Muwatta,الموطأ,,,,,,,,,,,,http://www.worldcat.org/oclc/235998709 :: بشار عواد معروف - محمود خليل :: 1412 هـ :: مؤسسة الرسالة,http://www.worldcat.org/oclc/235998709
openiti_edition_Shamela0016050,openiti_work_0179MalikIbnAnas.Muwatta,الموطأ,,,,,,,,,,,,http://www.worldcat.org/oclc/4771133648 :: عبد الوهاب عبد اللطيف :: المكتبة العلمية,http://www.worldcat.org/oclc/4771133648
openiti_edition_Shamela0028107,openiti_work_0179MalikIbnAnas.Muwatta,الموطأ,,,,,,,,,,,,http://www.worldcat.org/oclc/1006303916 :: محمد مصطفى الأعظمي :: مؤسسة زايد بن سلطان آل نهيان للأعمال الخيرية والإنسانية - أبو ظبي - الإمارات,http://www.worldcat.org/oclc/1006303916
openiti_edition_Shia000901Vols,openiti_work_0179MalikIbnAnas.Muwatta,الموطأ,,,,,,,,,,,,تصحيح وتعليق : محمد فؤاد عبد الباقي :: 1406 - 1985 م,
openiti_edition_Shamela0021544,openiti_work_0180IbnJacfarAnsari.HadithIsmacil,حديث علي بن حجر السعدي عن إسماعيل بن جعفر المدني,,,,,,,,,,,,عمر بن رفود بن رفيد السفياني :: مكتبة الرشد للنشر والتوزيع، الرياض - شركة الرياض للنشر والتوزيع,
openiti_edition_JK006989,openiti_work_0180Sibawayhi.KitabSibawayhi,كتاب سيبويه,,,,,,,,,,,,عبد السلام محمد هارون :: بيروت :: دار الجيل,
openiti_edition_Shamela0023018,openiti_work_0180Sibawayhi.KitabSibawayhi,كتاب سيبويه,,,,,,,,,,,,http://www.worldcat.org/oclc/4770914633 :: عبد السلام محمد هارون :: مكتبة الخانجي، القاهرة,http://www.worldcat.org/oclc/4770914633
openiti_edition_ShamAY0033652,openiti_work_0181IbnMubarak.ArbacunHadithan,الأربعون حديثا,,,,,,,,,,,,محمد سعيد بن محمد حسن أحمد بخاري :: الأولى، 2003 م :: مكتبة الرشد - الرياض,
openiti_edition_ShamAY0037919,openiti_work_0181IbnMubarak.Diwan,ديوان عبد الله بن المبارك,,,,,,,,,,,,سعد كريم الفقي,
openiti_edition_JK000549,openiti_work_0181IbnMubarak.Jihad,الجهاد لابن المبارك,,,,,,,,,,,,تونس :: الدار التونسية,
openiti_edition_ShamAY0033534,openiti_work_0181IbnMubarak.Jihad,الجهاد لابن المبارك,,,,,,,,,,,,نزيه حماد :: جدة :: دار المطبوعات الحديثة,
openiti_edition_ShamAY0033661,openiti_work_0181IbnMubarak.Jihad,الجهاد لابن المبارك,,,,,,,,,,,,نزيه حماد :: الثانية، 1403 ه :: دار المطبوعات الحديثة - جدة,
openiti_edition_Shamela0003610,openiti_work_0181IbnMubarak.Jihad,الجهاد لابن المبارك,,,,,,,,,,,,د. نزيه حماد :: 1972م :: الدار التونسية - تونس,
openiti_edition_Shia001880,openiti_work_0181IbnMubarak.Jihad,الجهاد لابن المبارك,,,,,,,,,,,,تحقيق وتقديم وتعليق : الدكتور نزيه حماد,
openiti_edition_JK000568,openiti_work_0181IbnMubarak.Musnad,مسند الإمام عبد الله بن المبارك,,,,,,,,,,,,صبحي البدري السامرائي :: الرياض :: 1407 :: مكتبة المعارف,
openiti_edition_Shamela0023101,openiti_work_0181IbnMubarak.Musnad,مسند الإمام عبد الله بن المبارك,,,,,,,,,,,,صبحي البدري السامرائي :: مكتبة المعارف - الرياض,
openiti_edition_Shia001881,openiti_work_0181IbnMubarak.Musnad,مسند الإمام عبد الله بن المبارك,,,,,,,,,,,,د . مصطفى عثمان محمد :: 1411 - 1991 م,
openiti_edition_JK000055,openiti_work_0181IbnMubarak.Zuhd,الزهد,,,,,,,,,,,,حبيب الرحمن الأعظمي :: بيروت :: دار الكتب العلمية,
openiti_edition_Shamela0013028,openiti_work_0181IbnMubarak.Zuhd,الزهد,,,,,,,,,,,,حبيب الرحمن الأعظمي :: دار الكتب العلمية - بيروت,
openiti_edition_JK000681,openiti_work_0182AbuYusufYacqub.Athar,كتاب الآثار,,,,,,,,,,,,أبو الوفا :: بيروت :: 1355 :: دار الكتب العلمية,
openiti_edition_Shamela0012987,openiti_work_0182AbuYusufYacqub.Athar,كتاب الآثار,,,,,,,,,,,,"http://www.worldcat.org/oclc/4771410217 :: دار الكتب العلمية, لبنان",http://www.worldcat.org/oclc/4771410217
openiti_edition_Shamela0096606,openiti_work_0182AbuYusufYacqub.IkhtilafAbiHanifa,اختلاف أبي حنيفة و ابن أبي ليلى,,,,,,,,,,,,http://www.worldcat.org/oclc/235981792,http://www.worldcat.org/oclc/235981792
openiti_edition_ShamAY0034334,openiti_work_0182AbuYusufYacqub.Kharaj,الخراج,,,,,,,,,,,,الثالثة عام 1382ه :: المطبعة السلفية ومكتبتها القاهرة,
openiti_edition_Shamela0026333,openiti_work_0182AbuYusufYacqub.Kharaj,الخراج,,,,,,,,,,,,طه عبد الرءوف سعد، سعد حسن محمد :: المكتبة الأزهرية للتراث,
openiti_edition_JK000389,openiti_work_0182AbuYusufYacqub.RaddCalaSiyarAwzaci,الرد على سير الأوزاعي,,,,,,,,,,,,أبو الوفا الأفغاني :: بيروت :: دار الكتب العلمية,
openiti_edition_Shamela0007225,openiti_work_0182AbuYusufYacqub.RaddCalaSiyarAwzaci,الرد على سير الأوزاعي,,,,,,,,,,,,http://www.worldcat.org/oclc/4770451618,http://www.worldcat.org/oclc/4770451618
openiti_edition_Sham19Y0148540,openiti_work_0183AbuHayyaNumayri.Shicr,شعر أبي حية النميري,,,,,,,,,,,,منشورات وزارة الثقافة والارشاد القومي - دمشق 1975,
openiti_edition_Shamela0009412,openiti_work_0184AbuIshaqZuhri.JuzMinNuskha,جزء من نسخة إبراهيم بن سعد (مطبوع ضمن مجموع باسم الفوائد لابن منده!),,,,,,,,,,,,خلاف محمود عبد السميع :: دار الكتب العلمية، بيروت - لبنان,
openiti_edition_Shamela0029289,openiti_work_0185IbnCimranMawsili.Zuhd,الزهد للمعافى بن عمران الموصلي,,,,,,,,,,,,الدكتور عامر حسن صبري :: دار البشائر الإسلامية - بيروت,
openiti_edition_Shamela0029344,openiti_work_0188IbnMuhammadFazari.Siyar,السير لأبي إسحاق الفزاري,,,,,,,,,,,,فاروق حمادة :: مؤسسة الرسالة - بيروت,
openiti_edition_Shamela0029986,openiti_work_0189IbnHamzaKisai.MushtabihatQuran,مشتبهات القرآن,,,,,,,,,,,,د. محمد محمد داود :: دار المنار للنشر والتوزيع,
openiti_edition_JK000267,openiti_work_0189MuhammadShaybani.Asl,الأصل,,,,,,,,,,,,أبو الوفا الأفغاني :: كراتشي :: إدارة القرآن والعلوم الإسلامية,
openiti_edition_Sham19Y0014285,openiti_work_0189MuhammadShaybani.Asl,الأصل,,,,,,,,,,,,http://www.worldcat.org/oclc/816828542,http://www.worldcat.org/oclc/816828542
openiti_edition_Shamela0006164,openiti_work_0189MuhammadShaybani.Asl,الأصل,,,,,,,,,,,,أبو الوفا الأفغاني :: إدارة القرآن والعلوم الإسلامية - كراتشي,
openiti_edition_Shamela0001332,openiti_work_0189MuhammadShaybani.Athar,الآثار لمحمد ابن الحسن,,,,,,,,,,,,أبو الوفا الأفغاني :: دار الكتب العلمية، بيروت - لبنان,
