person_id,canonical_name_ar,canonical_name_en,kunya,nisba,known_as,birth_year_hijri,death_year_hijri,birth_year_ce,death_year_ce,era,region,roles,schools,teachers,students,works_count,authority_ids,wikidata_id,viaf_id,isni_id,openiti_person_id,biography_sources
0001TufaylGhanawi,طفيل الغنوي,Tufayl Ghanawi,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0001TufaylGhanawi,OpenITI 2025.1.9
0001ZuhayrIbnAbiSulma,زهير بن أبي سلمى,Zuhayr Ibn Abi Sulma,NULL,NULL,NULL,NULL,0001,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,0001ZuhayrIbnAbiSulma,OpenITI 2025.1.9
0005Hadira,الحادرة,Hadira,NULL,NULL,NULL,NULL,0005,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0005Hadira,OpenITI 2025.1.9
0007MaymunIbnQaysAcsha,الأعشى,Maymun Ibn Qays Acsha,NULL,NULL,NULL,NULL,0007,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0007MaymunIbnQaysAcsha,OpenITI 2025.1.9
0011CamirIbnTufayl,عامر بن الطفيل,Camir Ibn Tufayl,NULL,NULL,NULL,NULL,0011,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0011CamirIbnTufayl,OpenITI 2025.1.9
0021CamrZubaydi,عمرو بن معدي كرب,Camr Zubaydi,NULL,NULL,NULL,NULL,0021,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0021CamrZubaydi,OpenITI 2025.1.9
0022ShammakhIbnDirar,الشماخ بن ضرار,Shammakh Ibn Dirar,NULL,NULL,NULL,NULL,0022,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0022ShammakhIbnDirar,OpenITI 2025.1.9
0024TumadirBinCamrKhansa,الخنساء,Tumadir Bin Camr Khansa,NULL,NULL,NULL,NULL,0024,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0024TumadirBinCamrKhansa,OpenITI 2025.1.9
0026KacbIbnZuhayr,كعب بن زهير,Kacb Ibn Zuhayr,NULL,NULL,NULL,NULL,0026,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0026KacbIbnZuhayr,OpenITI 2025.1.9
0030CurwaIbnHizam,عروة بن حزام,Curwa Ibn Hizam,NULL,NULL,NULL,NULL,0030,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0030CurwaIbnHizam,OpenITI 2025.1.9
0037IbnMuqbil,ابن مقبل,Ibn Muqbil,NULL,NULL,NULL,NULL,0037,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0037IbnMuqbil,OpenITI 2025.1.9
0040CaliIbnAbiTalib,علي بن أبي طالب,Cali Ibn Abi Talib,NULL,NULL,NULL,NULL,0040,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0040CaliIbnAbiTalib,OpenITI 2025.1.9
0041LabidIbnRabica,لبيد بن ربيعة العامري,Labid Ibn Rabica,NULL,NULL,NULL,NULL,0041,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,0041LabidIbnRabica,OpenITI 2025.1.9
