work_id,canonical_title_ar,canonical_title_en,alternate_titles,author_id,author_name_ar,author_name_en,author_death_hijri,category_primary,category_secondary,subjects,era,language_original,description_short,work_status,bibliographic_source,bibliographic_source_url
0001Quran.Mushaf,القران,al-Qurān,NULL,0001Quran,القرآن,Quran,0001,A-القرآن الكريم وعلومه,علوم القرآن,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001SalamaIbnJandal.Diwan,ديوان سلامة بن جندل,Diwan,NULL,0001SalamaIbnJandal,سلامة بن جندل,Salama Ibn Jandal,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001SamawalIbnCadiya.Diwan,ديوان السموأل,Diwan,NULL,0001SamawalIbnCadiya,السموأل,Samawal Ibn Cadiya,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001Shanfara.Diwan,ديوان الشنفرى,Diwan,NULL,0001Shanfara,الشنفرى,Shanfara,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001SulaykIbnSulaka.Diwan,ديوان السليك بن عمرو,Diwan,NULL,0001SulaykIbnSulaka,السليك بن عمرو,Sulayk Ibn Sulaka,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001TaabbataSharran.Diwan,ديوان ثابت بن جابر,Diwan,NULL,0001TaabbataSharran,ثابت بن جابر,Taabbata Sharran,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001TarafaIbnCabd.Diwan,ديوان طرفة بن العبد,Diwan,NULL,0001TarafaIbnCabd,طرفة بن العبد,Tarafa Ibn Cabd,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001TufaylGhanawi.Diwan,ديوان طفيل الغنوي,Diwan,NULL,0001TufaylGhanawi,طفيل الغنوي,Tufayl Ghanawi,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001ZuhayrIbnAbiSulma.Diwan,ديوان زهير بن أبي سلمى,Diwan,NULL,0001ZuhayrIbnAbiSulma,زهير بن أبي سلمى,Zuhayr Ibn Abi Sulma,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0001ZuhayrIbnAbiSulma.Mucallaqa,معلقة زهير بن أبي سلمى,Mucallaqa,NULL,0001ZuhayrIbnAbiSulma,زهير بن أبي سلمى,Zuhayr Ibn Abi Sulma,0001,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
