duplicate_group_id,work_id,reason,digital_version_ids,count
openiti:0021CamrZubaydi.Diwan,0021CamrZubaydi.Diwan,Multiple OpenITI digital versions of one work,0021CamrZubaydi.Diwan.JK007536-ara1 | 0021CamrZubaydi.Diwan.ShamAY0037905-ara1,2
openiti:0022ShammakhIbnDirar.Diwan,0022ShammakhIbnDirar.Diwan,Multiple OpenITI digital versions of one work,0022ShammakhIbnDirar.Diwan.JK007533-ara1 | 0022ShammakhIbnDirar.Diwan.ShamAY0037892-ara1,2
openiti:0024TumadirBinCamrKhansa.Diwan,0024TumadirBinCamrKhansa.Diwan,Multiple OpenITI digital versions of one work,0024TumadirBinCamrKhansa.Diwan.JK007532-ara1 | 0024TumadirBinCamrKhansa.Diwan.ShamAY0037828-ara1,2
openiti:0026KacbIbnZuhayr.Diwan,0026KacbIbnZuhayr.Diwan,Multiple OpenITI digital versions of one work,0026KacbIbnZuhayr.Diwan.JK007537-ara1 | 0026KacbIbnZuhayr.Diwan.ShamAY0037833-ara1,2
openiti:0030CurwaIbnHizam.Diwan,0030CurwaIbnHizam.Diwan,Multiple OpenITI digital versions of one work,0030CurwaIbnHizam.Diwan.JK007555-ara1 | 0030CurwaIbnHizam.Diwan.ShamAY0037960-ara1,2
openiti:0037IbnMuqbil.Diwan,0037IbnMuqbil.Diwan,Multiple OpenITI digital versions of one work,0037IbnMuqbil.Diwan.JK007530-ara1 | 0037IbnMuqbil.Diwan.ShamAY0037879-ara1,2
openiti:0040CaliIbnAbiTalib.Diwan,0040CaliIbnAbiTalib.Diwan,Multiple OpenITI digital versions of one work,0040CaliIbnAbiTalib.Diwan.JK007540-ara1 | 0040CaliIbnAbiTalib.Diwan.ShamAY0037911-ara1,2
openiti:0041LabidIbnRabica.Diwan,0041LabidIbnRabica.Diwan,Multiple OpenITI digital versions of one work,0041LabidIbnRabica.Diwan.JK007538-ara2 | 0041LabidIbnRabica.Diwan.Shamela0035077-ara1,2
openiti:0045JarwalIbnAwsHutaya.Diwan,0045JarwalIbnAwsHutaya.Diwan,Multiple OpenITI digital versions of one work,0045JarwalIbnAwsHutaya.Diwan.JK007531-ara1 | 0045JarwalIbnAwsHutaya.Diwan.ShamAY0037850-ara1,2
openiti:0050KhirniqBintBadr.Diwan,0050KhirniqBintBadr.Diwan,Multiple OpenITI digital versions of one work,0050KhirniqBintBadr.Diwan.JK007506-ara1 | 0050KhirniqBintBadr.Diwan.ShamAY0037827-ara1,2
openiti:0054HassanIbnThabit.Diwan,0054HassanIbnThabit.Diwan,Multiple OpenITI digital versions of one work,0054HassanIbnThabit.Diwan.JK007534-ara1 | 0054HassanIbnThabit.Diwan.ShamAY0037912-ara1,2
openiti:0060MucawiyaIbnAbiSufyan.Diwan,0060MucawiyaIbnAbiSufyan.Diwan,Multiple OpenITI digital versions of one work,0060MucawiyaIbnAbiSufyan.Diwan.JK007541-ara1 | 0060MucawiyaIbnAbiSufyan.Diwan.Sham19Y0149482-ara1,2
openiti:0068CabdAllahIbnCabbas.GharibQuran,0068CabdAllahIbnCabbas.GharibQuran,Multiple OpenITI digital versions of one work,0068CabdAllahIbnCabbas.GharibQuran.Shamela0023622-ara1 | 0068CabdAllahIbnCabbas.GharibQuran.Zaydiyya0000300-ara1,2
openiti:0068QaysIbnDharihLubna.Diwan,0068QaysIbnDharihLubna.Diwan,Multiple OpenITI digital versions of one work,0068QaysIbnDharihLubna.Diwan.JK007557-ara1 | 0068QaysIbnDharihLubna.Diwan.ShamAY0037908-ara1,2
openiti:0068QaysMajnunLayla.Diwan,0068QaysMajnunLayla.Diwan,Multiple OpenITI digital versions of one work,0068QaysMajnunLayla.Diwan.JK007560-ara1 | 0068QaysMajnunLayla.Diwan.ShamAY0037853-ara1,2
openiti:0080LaylaAkhyaliyya.Diwan,0080LaylaAkhyaliyya.Diwan,Multiple OpenITI digital versions of one work,0080LaylaAkhyaliyya.Diwan.JK007559-ara1 | 0080LaylaAkhyaliyya.Diwan.Sham19Y0149874-ara1 | 0080LaylaAkhyaliyya.Diwan.ShamAY0037836-ara1,3
openiti:0080UqayshirAsadi.Diwan,0080UqayshirAsadi.Diwan,Multiple OpenITI digital versions of one work,0080UqayshirAsadi.Diwan.JK007539-ara1 | 0080UqayshirAsadi.Diwan.ShamAY0037940-ara1,2
openiti:0082JamilButhayna.Diwan,0082JamilButhayna.Diwan,Multiple OpenITI digital versions of one work,0082JamilButhayna.Diwan.JK007550-ara1 | 0082JamilButhayna.Diwan.ShamAY0037931-ara1,2
openiti:0090AkhtalShacir.Diwan,0090AkhtalShacir.Diwan,Multiple OpenITI digital versions of one work,0090AkhtalShacir.Diwan.JK007544-ara1 | 0090AkhtalShacir.Diwan.ShamAY0037927-ara1,2
openiti:0090RaciNumayriShacir.Diwan,0090RaciNumayriShacir.Diwan,Multiple OpenITI digital versions of one work,0090RaciNumayriShacir.Diwan.JK007545-ara1 | 0090RaciNumayriShacir.Diwan.ShamAY0037882-ara1,2
openiti:0090WaddahYaman.Diwan,0090WaddahYaman.Diwan,Multiple OpenITI digital versions of one work,0090WaddahYaman.Diwan.JK007562-ara1 | 0090WaddahYaman.Diwan.ShamAY0037963-ara1,2
openiti:0093IbnAbiRabica.Diwan,0093IbnAbiRabica.Diwan,Multiple OpenITI digital versions of one work,0093IbnAbiRabica.Diwan.JK007556-ara1 | 0093IbnAbiRabica.Diwan.ShamAY0037902-ara1,2
openiti:0095CadiIbnRiqac.Diwan,0095CadiIbnRiqac.Diwan,Multiple OpenITI digital versions of one work,0095CadiIbnRiqac.Diwan.JK007553-ara1 | 0095CadiIbnRiqac.Diwan.ShamAY0037957-ara1,2
openiti:0104MujahidIbnJabr.Tafsir,0104MujahidIbnJabr.Tafsir,Multiple OpenITI digital versions of one work,0104MujahidIbnJabr.Tafsir.JK000459-ara1 | 0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1 | 0104MujahidIbnJabr.Tafsir.Shamela0012810-ara2 | 0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1 | 0104MujahidIbnJabr.Tafsir.Tafsir02078-ara1,5
openiti:0105AhwasAnsari.Diwan,0105AhwasAnsari.Diwan,Multiple OpenITI digital versions of one work,0105AhwasAnsari.Diwan.JK007543-ara1 | 0105AhwasAnsari.Diwan.ShamAY0037939-ara1,2
openiti:0105KuthayyirCazza.Diwan,0105KuthayyirCazza.Diwan,Multiple OpenITI digital versions of one work,0105KuthayyirCazza.Diwan.JK007558-ara1 | 0105KuthayyirCazza.Diwan.ShamAY0037909-ara1,2
openiti:0110Farazdaq.Diwan,0110Farazdaq.Diwan,Multiple OpenITI digital versions of one work,0110Farazdaq.Diwan.JK007547-ara1 | 0110Farazdaq.Diwan.ShamAY0037829-ara1,2
